iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
17,0.11386704444885254,0.00013797522031857573,0.0005366874968642423,AFW,0,26
18,0.12089920043945312,0.00013497522551225022,0.0005244732644644402,AFW,0,26
19,0.1270749568939209,0.0001349175492619575,0.0005251835444306807,AFW,0,26
20,0.13374114036560059,0.00012092252170507705,0.00046814945031107343,AFW,0,26
21,0.14055705070495605,0.00011169084651103424,0.00043049826181126497,AFW,0,26
22,0.14684605598449707,0.00010750258512269406,0.000413405608042471,AFW,0,26
23,0.15427494049072266,0.0001042154395753547,0.0003999893740272239,AFW,0,26
24,0.16050219535827637,9.904305743461671e-05,0.0003788113081658331,AFW,0,26
25,0.1676192283630371,9.1851017976167e-05,0.000349208364809234,AFW,0,26
26,0.17432498931884766,9.104009016552817e-05,0.00034587361535663144,AFW,0,26
27,0.19486713409423828,8.016702735919601e-05,0.00023617452018008457,AFW,0,26
28,0.21750307083129883,7.18795475600985e-05,0.00021365857311374822,AFW,0,26
29,0.2426769733428955,6.402113751806637e-05,0.00016023164253006148,AFW,0,26
30,0.2509288787841797,6.265206741556012e-05,0.00015338552086148596,AFW,0,26
31,0.2592349052429199,6.203395635488495e-05,0.00015627052675917623,AFW,0,26
32,0.2859048843383789,5.733880704883218e-05,0.00014729304154599554,AFW,0,26
33,0.2945699691772461,5.5288169187283625e-05,0.00018946889959070253,AFW,0,26
34,0.3177030086517334,4.966930230569446e-05,0.000163123973728089,AFW,0,26
35,0.33144211769104004,4.8372249916294464e-05,0.00015367065265620817,AFW,0,26
36,0.35061097145080566,4.677225278722967e-05,0.0001444111320865082,AFW,0,26
37,0.3607208728790283,4.453107217082666e-05,0.00012761661654125402,AFW,0,26
38,0.38170814514160156,4.050283637672954e-05,0.00010599507846586795,AFW,0,26
39,0.38864898681640625,3.768770904556111e-05,9.791233742791778e-05,AFW,0,26
40,0.40959596633911133,3.444671946683256e-05,8.89162639590689e-05,AFW,0,26
41,0.4162471294403076,3.319344198905432e-05,9.375716744543289e-05,AFW,0,26
42,0.43938493728637695,3.258608065746968e-05,9.508199565599617e-05,AFW,0,26
43,0.4584929943084717,2.9183617287774368e-05,8.23235699373278e-05,AFW,0,26
44,0.46518516540527344,2.7312692166366343e-05,7.671407337587268e-05,AFW,0,26
45,0.47864818572998047,2.6713747696411868e-05,7.213557594168402e-05,AFW,0,26
46,0.49309611320495605,2.6119776261532367e-05,6.744612437571804e-05,AFW,0,26
47,0.5143980979919434,2.5223709074248996e-05,6.671281931887435e-05,AFW,0,26
48,0.5262770652770996,2.4563654349372987e-05,6.103292865474922e-05,AFW,0,26
49,0.5474750995635986,2.3853673540092362e-05,5.295631819211182e-05,AFW,0,26
50,0.557574987411499,2.351796236887414e-05,5.072034895690494e-05,AFW,0,26
51,0.5638129711151123,2.2344504180249425e-05,7.424654761720616e-05,AFW,0,26
52,0.5851240158081055,2.046142205267979e-05,5.648501298985664e-05,AFW,0,26
53,0.5916130542755127,1.9562277670207204e-05,6.0267958302271925e-05,AFW,0,26
54,0.6149251461029053,1.9317651189568222e-05,5.4054251482137646e-05,AFW,0,26
55,0.6268880367279053,1.8935211377200625e-05,5.048542857720852e-05,AFW,0,26
56,0.6482820510864258,1.8280605567927537e-05,4.9248032005653255e-05,AFW,0,26
57,0.658350944519043,1.7962013997473684e-05,4.5165350464163894e-05,AFW,0,26
58,0.6853971481323242,1.7159981940402348e-05,4.38609565143232e-05,AFW,0,26
