iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
100,1.6172218322753906,0.0004213012084880656,0.0002619075851690922,FW,1,6
101,1.6318309307098389,0.00042060747335176624,0.000254215546002164,FW,1,6
102,1.6466329097747803,0.00041997908478555755,0.0002532829354842155,FW,1,6
103,1.661107063293457,0.0004194659804174003,0.0002543677370266113,FW,1,6
104,1.6761329174041748,0.0004188252381721109,0.00026241505803733384,FW,1,6
105,1.6904549598693848,0.00041811733037817764,0.0002526243494053106,FW,1,6
106,1.7063031196594238,0.00041760004138726326,0.0002580330169648207,FW,1,6
107,1.7229828834533691,0.000416985000105407,0.00025127642646016556,FW,1,6
108,1.7404649257659912,0.00041642666318722054,0.00025037950183612063,FW,1,6
109,1.7591118812561035,0.00041512812222297167,0.00022427751840449714,FW,1,6
110,1.7793560028076172,0.00041415918106051634,0.00020370216315009496,FW,1,6
111,1.7986540794372559,0.0004135298086946542,0.00016996521802976758,FW,1,6
112,1.818681001663208,0.0004129510403229319,0.00012873289072512373,FW,1,6
113,1.8388469219207764,0.00041278633684077066,0.00014360673977914707,FW,1,6
114,1.8588829040527344,0.0004124735292684891,0.0001243540955553246,FW,1,6
115,1.8796069622039795,0.0004123356487224097,0.00014751762277779258,FW,1,6
116,1.9074320793151855,0.00041196404904884,0.0001239187843269714,FW,1,6
117,1.9346020221710205,0.00041164914340842624,0.0001384521727195546,FW,1,6
118,1.9602279663085938,0.0004113871969105132,0.00011447406785827481,FW,1,6
119,1.9873318672180176,0.0004111388980789015,0.00011522708448241894,FW,1,6
120,2.0134291648864746,0.0004108854372321437,8.44384231617659e-05,FW,1,6
0,0.0,0.016124977754213284,0.010568988449116768,AFW,1,6
1,0.0042760372161865234,0.015565673839141748,0.008876717288923896,AFW,1,6
2,0.00922703742980957,0.015535898948940467,0.00872901782165136,AFW,1,6
3,0.014116048812866211,0.015093682408103354,0.010003544280492207,AFW,1,6
4,0.021577119827270508,0.010294206291358254,0.02155395917371391,AFW,1,6
5,0.029249191284179688,0.00708926820266097,0.021891379165831917,AFW,1,6
6,0.03862929344177246,0.003277444589633908,0.009546368064070727,AFW,1,6
7,0.042910099029541016,0.0032599642575326993,0.009535453491071273,AFW,1,6
8,0.05285811424255371,0.002210566498405578,0.007187748185101588,AFW,1,6
